Format:

,No.,Name,HP,ATK,DEF,SPD,SPC,Type1,Type2,EvlLv,XPGroup
,000,---none---,00,00,00,00,00,00,00,00,01 
,001,Bulbasaur ,45,49,49,45,65,05,11,16,03
,002,Ivysaur   ,60,62,63,60,80,05,11,32,03
,003,Venusaur  ,80,82,83,80,100,05,11,00,03
,004,Charmander,39,52,43,65,50,02,00,16,03
,005,Charmeleon,58,64,58,80,65,02,00,36,03
,006,Charizard ,78,84,78,100,85,02,00,00,03
,007,Squirtle  ,44,48,65,43,50,03,00,16,03
,008,Wartortle ,59,63,80,58,65,03,00,36,03
,009,Blastoise ,79,83,100,78,85,03,00,00,03
,010,Caterpie  ,45,30,35,45,20,10,00,07,02
,011,Metapod   ,50,20,55,30,25,10,00,10,02
,012,Butterfree,60,45,50,70,80,10,13,00,02
,013,Weedle    ,40,35,30,50,20,10,11,07,02
,014,Kakuna    ,45,25,50,35,25,10,11,10,02
,015,Beedrill  ,65,80,40,75,45,10,11,00,02
,016,Pidgey    ,40,45,40,56,35,01,12,18,03
,017,Pidgeotto ,63,60,55,71,50,01,12,36,03
,018,Pidgeot   ,83,80,75,91,70,01,12,00,03
,019,Rattata   ,30,56,35,72,25,01,00,20,02
,020,Raticate  ,55,81,60,97,50,01,00,00,02
,021,Spearow   ,40,60,30,70,31,01,12,20,02
,022,Fearow    ,65,90,65,100,61,01,12,00,02
,023,Ekans     ,35,60,44,55,40,11,00,22,02
,024,Arbok     ,60,85,69,80,65,11,00,00,02
,025,Pikachu   ,35,55,30,90,50,06,00,25,02
,026,Raichu    ,60,90,55,100,90,06,00,00,02
,027,Sandshrew ,50,75,85,40,30,08,00,22,02
,028,Sandslash ,75,100,110,65,55,8,00,00,02
,029,NidoranF  ,55,47,52,41,40,11,00,16,03
,030,Nidorina  ,70,62,67,56,55,11,00,45,03
,031,Nidoqueen ,90,82,87,76,75,11,08,00,03
,032,NidoranM  ,46,57,40,60,40,11,00,16,03
,033,Nidorino  ,61,72,57,65,55,11,00,45,03
,034,Nidoking  ,81,92,77,85,75,11,08,00,03
,035,Clefairy  ,70,45,48,35,60,01,00,35,04
,036,Clefable  ,95,70,73,60,85,01,00,00,04
,037,Vulpix    ,38,41,40,65,65,02,00,35,02
,038,Ninetails ,73,76,75,100,100,02,00,00,02
,039,Jigglypuff,115,45,20,20,25,01,00,35,04
,040,Wigglytuff,140,70,45,45,50,01,00,00,04
,041,Zubat     ,40,45,35,55,40,11,12,22,02
,042,Golbat    ,75,80,70,90,75,11,12,00,02
,043,Oddish    ,45,50,55,30,75,05,11,21,03
,044,Gloom     ,60,65,70,40,85,05,11,45,03
,045,Vileplume ,75,80,85,50,100,05,11,00,03
,046,Paras     ,35,70,55,25,55,10,05,24,02
,047,Parasect  ,60,95,80,30,80,10,05,00,02
,048,Venonat   ,60,55,50,45,40,10,11,31,02
,049,Venomoth  ,70,65,60,90,90,10,11,00,02
,050,Diglett   ,10,55,25,95,45,08,00,26,02
,051,Dugtrio   ,35,80,50,120,70,08,00,00,02
,052,Meowth    ,40,45,35,90,40,01,00,28,02
,053,Persian   ,65,70,60,115,65,01,00,00,02
,054,Psyduck   ,50,52,48,55,50,03,00,33,02
,055,Golduck   ,80.82,78,85,80,03,00,00,02
,056,Mankey    ,40,80,35,70,35,09,00,28,02
,057,Primeape  ,65,105,60,95,60,09,00,00,02
,058,Growlithe ,55,70,45,60,50,02,00,35,01
,059,Arcanine  ,90,110,80,95,80,02,00,00,01
,060,Poliwag   ,40,50,40,90,40,03,00,25,03
,061,Poliwhirl ,65,65,65,90,40,03,00,55,03
,062,Poliwrath ,90,85,95,70,70,03,09,00,03
,063,Abra      ,25,20,15,90,105,13,00,16,03
,064,Kadabra   ,40,35,30,105,120,13,00,55,03
,065,Alakazam  ,55,50,45,120,135,13,00,00,03
,066,Machop    ,70,80,50,35,35,09,00,28,03
,067,Machoke   ,80,100,70,45,50,09,00,55,03
