000,---none---,00,00,00,00,00,00,00,00,01,000
,001,Bulbasaur,45,49,49,45,65,05,11,16,03,064
,002,Ivysaur,60,62,63,60,80,05,11,32,03,142
,003,Venusaur,80,82,83,80,100,05,11,00,03,236
,004,Charmander,39,52,43,65,50,02,00,16,03,062
,005,Charmeleon,58,64,58,80,65,02,00,36,03,142
,006,Charizard,78,84,78,100,85,02,00,00,03,240
,007,Squirtle,44,48,65,43,50,03,00,16,03,063
,008,Wartortle,59,63,80,58,65,03,00,36,03,142
,009,Blastoise,79,83,100,78,85,03,00,00,03,239
,010,Caterpie,45,30,35,45,20,10,00,07,02,039
,011,Metapod,50,20,55,30,25,10,00,10,02,072
,012,Butterfree,60,45,50,70,80,10,13,00,02,173
,013,Weedle,40,35,30,50,20,10,11,07,02,039
,014,Kakuna,45,25,50,35,25,10,11,10,02,072
,015,Beedrill,65,80,40,75,45,10,11,00,02,173
,016,Pidgey,40,45,40,56,35,01,12,18,03,050
,017,Pidgeotto,63,60,55,71,50,01,12,36,03,122
,018,Pidgeot,83,80,75,91,70,01,12,00,03,211
,019,Rattata,30,56,35,72,25,01,00,20,02,051
,020,Raticate,55,81,60,97,50,01,00,00,02,145
,021,Spearow,40,60,30,70,31,01,12,20,02,052
,022,Fearow,65,90,65,100,61,01,12,00,02,155
,023,Ekans,35,60,44,55,40,11,00,22,02,058
,024,Arbok,60,85,69,80,65,11,00,00,02,153
,025,Pikachu,35,55,30,90,50,06,00,25,02,105
,026,Raichu,60,90,55,100,90,06,00,00,02,214
,027,Sandshrew,50,75,85,40,30,08,00,22,02,060
,028,Sandslash,75,100,110,65,55,8,00,00,02,158
,029,NidoranF,55,47,52,41,40,11,00,16,03,055
,030,Nidorina,70,62,67,56,55,11,00,45,03,128
,031,Nidoqueen,90,82,87,76,75,11,08,00,03,223
,032,NidoranM,46,57,40,60,40,11,00,16,03,055
,033,Nidorino,61,72,57,65,55,11,00,45,03,128
,034,Nidoking,81,92,77,85,75,11,08,00,03,223
,035,Clefairy,70,45,48,35,60,01,00,35,04,113
,036,Clefable,95,70,73,60,85,01,00,00,04,213
,037,Vulpix,38,41,40,65,65,02,00,35,02,060
,038,Ninetails,73,76,75,100,100,02,00,00,02,177
,039,Jigglypuff,115,45,20,20,25,01,00,35,04,095
,040,Wigglytuff,140,70,45,45,50,01,00,00,04,191
,041,Zubat,40,45,35,55,40,11,12,22,02,049
,042,Golbat,75,80,70,90,75,11,12,00,02,159
,043,Oddish,45,50,55,30,75,05,11,21,03,064
,044,Gloom,60,65,70,40,85,05,11,45,03,138
,045,Vileplume,75,80,85,50,100,05,11,00,03,216
,046,Paras,35,70,55,25,55,10,05,24,02,057
,047,Parasect,60,95,80,30,80,10,05,00,02,142
,048,Venonat,60,55,50,45,40,10,11,31,02,061
